Id,Name,joinapi__Button_Label__c,joinapi__Description__c,joinapi__Display_Name__c,joinapi__Is_Default_Item__c,joinapi__Is_Marketing_Item_Group__c,joinapi__Is_Marketing_Item__c,joinapi__Is_Published__c,joinapi__Item_Badge_Types_Filter__c,joinapi__Item_Criteria__c,joinapi__Item_Group_Header__c,joinapi__Item_Group__c,joinapi__Item__c,joinapi__Next_Step__c,joinapi__Order__c,joinapi__Step__c,joinapi__Item_Group__r.Id,joinapi__Item__r.Id,joinapi__Next_Step__r.Id,joinapi__Step__r.Id
a1z4W00000AqspDQAR,000028,,,,false,false,false,false,,"{""whereClause"":"" Department = 'Student' "",""displayClause"":""Department (Department) <em>Equals</em> <strong>Student</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""="",""filterValue"":""Student""}]}",,,a154W00000926RDQAY,,,a204W00000JMb7GQAT,,a154W00000926RDQAY,,a204W00000JMb7GQAT
a1z4W00000AqspEQAR,000029,,,,false,false,false,false,,"{""whereClause"":"" Department LIKE '%Staff%' "",""displayClause"":""Department (Department) <em>Contains</em> <strong>'Staff'</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""LIKE"",""filterValue"":""Staff""}]}",,,a154W00000926R6QAI,,,a204W00000JMb7GQAT,,a154W00000926R6QAI,,a204W00000JMb7GQAT
a1z4W00000AqspFQAR,000031,,,,false,false,false,false,,"{""whereClause"":"" Department = 'Professor' "",""displayClause"":""Department (Department) <em>Equals</em> <strong>Professor</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""="",""filterValue"":""Professor""}]}",,,a154W00000926R6QAI,,,a204W00000JMb7GQAT,,a154W00000926R6QAI,,a204W00000JMb7GQAT
a1z4W00000AqspGQAR,000030,,,,false,false,false,false,,"{""whereClause"":"" Department = 'Admin' "",""displayClause"":""Department (Department) <em>Equals</em> <strong>Admin</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""="",""filterValue"":""Admin""}]}",,,a154W00000926R6QAI,,,a204W00000JMb7GQAT,,a154W00000926R6QAI,,a204W00000JMb7GQAT
a1z4W00000AqspHQAR,000036,Next,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Professional Membership,false,false,true,true,,,Professional Membership,a1z4W00000AqspBQAR,a154W00000926R6QAI,a204W00000JMb7LQAT,0,a204W00000JMb7FQAT,a1z4W00000AqspBQAR,a154W00000926R6QAI,a204W00000JMb7LQAT,a204W00000JMb7FQAT
a1z4W00000AqspIQAR,000037,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Staff' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Staff</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Staff""}]}",,,a154W00000926R6QAI,,,a204W00000JMb7NQAT,,a154W00000926R6QAI,,a204W00000JMb7NQAT
a1z4W00000AqspJQAR,000038,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Admin' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Admin</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Admin""}]}",,,a154W00000926R6QAI,,,a204W00000JMb7NQAT,,a154W00000926R6QAI,,a204W00000JMb7NQAT
a1z4W00000AqspKQAR,000039,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Professor' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Professor</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Professor""}]}",,,a154W00000926R6QAI,,,a204W00000JMb7NQAT,,a154W00000926R6QAI,,a204W00000JMb7NQAT
a1z4W00000AqspLQAR,000040,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Student' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Student</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Student""}]}",,,a154W00000926RDQAY,,,a204W00000JMb7JQAT,,a154W00000926RDQAY,,a204W00000JMb7JQAT
a1z4W00000AqspMQAR,000041,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Staff' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Staff</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Staff""}]}",,,a154W00000926R6QAI,,,a204W00000JMb7JQAT,,a154W00000926R6QAI,,a204W00000JMb7JQAT
a1z4W00000AqspNQAR,000042,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Admin' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Admin</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Admin""}]}",,,a154W00000926R6QAI,,,a204W00000JMb7JQAT,,a154W00000926R6QAI,,a204W00000JMb7JQAT
a1z4W00000AqspOQAR,000043,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Professor' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Professor</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Professor""}]}",,,a154W00000926R6QAI,,,a204W00000JMb7JQAT,,a154W00000926R6QAI,,a204W00000JMb7JQAT
a1z4W00000AqspPQAR,000044,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Student' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Student</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Student""}]}",,,a154W00000926RDQAY,,,a204W00000JMb7NQAT,,a154W00000926RDQAY,,a204W00000JMb7NQAT
a1z4W00000AqspQQAR,000048,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '50' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>50</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""50""}]}",,,a154W00000926RTQAY,,,a204W00000JMb7NQAT,,a154W00000926RTQAY,,a204W00000JMb7NQAT
a1z4W00000AqspRQAR,000049,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '100' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>100</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""100""}]}",,,a154W00000926SiQAI,,,a204W00000JMb7NQAT,,a154W00000926SiQAI,,a204W00000JMb7NQAT
a1z4W00000AqspSQAR,000050,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '200' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>200</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""200""}]}",,,a154W00000926c5QAA,,,a204W00000JMb7NQAT,,a154W00000926c5QAA,,a204W00000JMb7NQAT
a1z4W00000AqspTQAR,000051,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '500' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>500</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""500""}]}",,,a154W00000926ScQAI,,,a204W00000JMb7NQAT,,a154W00000926ScQAI,,a204W00000JMb7NQAT
a1z4W00000AqspUQAR,000052,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '1000' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>1000</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""1000""}]}",,,a154W00000926SkQAI,,,a204W00000JMb7NQAT,,a154W00000926SkQAI,,a204W00000JMb7NQAT
a1z4W00000AqspVQAR,000053,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '50' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>50</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""50""}]}",,,a154W00000926RTQAY,,,a204W00000JMb7JQAT,,a154W00000926RTQAY,,a204W00000JMb7JQAT
a1z4W00000AqspWQAR,000054,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '100' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>100</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""100""}]}",,,a154W00000926SiQAI,,,a204W00000JMb7JQAT,,a154W00000926SiQAI,,a204W00000JMb7JQAT
a1z4W00000AqspXQAR,000055,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '200' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>200</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""200""}]}",,,a154W00000926c5QAA,,,a204W00000JMb7JQAT,,a154W00000926c5QAA,,a204W00000JMb7JQAT
a1z4W00000AqspYQAR,000056,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '500' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>500</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""500""}]}",,,a154W00000926ScQAI,,,a204W00000JMb7JQAT,,a154W00000926ScQAI,,a204W00000JMb7JQAT
a1z4W00000AqspZQAR,000057,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '1000' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>1000</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""1000""}]}",,,a154W00000926SkQAI,,,a204W00000JMb7JQAT,,a154W00000926SkQAI,,a204W00000JMb7JQAT
a1z4W00000AqspaQAB,000058,,,,false,false,false,false,,"{""whereClause"":"" Membership_Types__c = 'FON_Associate Membership' "",""displayClause"":""Membership Types (Membership_Types__c) <em>Equals</em> <strong>FON_Associate Membership</strong>"",""criteriaClause"":[{""filterObject"":""Account"",""filterField"":""Membership_Types__c"",""filterOperator"":""="",""filterValue"":""FON_Associate Membership""}]}",,,a154W00000926QuQAI,,,a204W00000JMb7SQAT,,a154W00000926QuQAI,,a204W00000JMb7SQAT
a1z4W00000AqspbQAB,000059,,,,false,false,false,false,,"{""whereClause"":"" Membership_Types__c = 'FON_Company Membership' "",""displayClause"":""Membership Types (Membership_Types__c) <em>Equals</em> <strong>FON_Company Membership</strong>"",""criteriaClause"":[{""filterObject"":""Account"",""filterField"":""Membership_Types__c"",""filterOperator"":""="",""filterValue"":""FON_Company Membership""}]}",,,a154W00000926RWQAY,,,a204W00000JMb7SQAT,,a154W00000926RWQAY,,a204W00000JMb7SQAT
a1z4W00000AqspeQAB,000060,,,,false,true,false,false,,,National Memberships,,,,0,,,,,
a1z4W00000AqspfQAB,000062,,,,false,true,false,false,,,National Membership,,,,0,,,,,
a1z4W00000AqspcQAB,000064,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '1500' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>1500</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""1500""}]}",,,a154W00000926SmQAI,,,a204W00000JMb7JQAT,,a154W00000926SmQAI,,a204W00000JMb7JQAT
